"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akali","Middle",3,"21.4%","57.1%","92.9%","67%","67%",18,8,16,4.3,"59.6%","25.8%","33%",203,364,10.5,8.7,"21.4%",649,"27.4%","22.2%",0.37,0.37
"Akali","Top",2,"14.3%","57.1%","92.9%","50%","100%",6,2,8,7,"77.8%","10.5%","0%",-627,56,-11,9.5,"22.2%",350,"22.5%","20.2%",0.38,0.14
"Alistar","Support",2,"14.3%","7.1%","21.4%","100%","50%",2,3,22,8,"75.0%","25.0%","0%",-63,-325,-3.5,1,"2.4%",151,"6.5%","8.5%",1.34,0.39
"Aphelios","ADC",1,"7.1%","0.0%","7.1%","0%","100%",0,4,0,0,"0.0%","21.1%","0%",12,-174,5,9.9,"35.4%",258,"22.6%","26.0%",0.35,0.39
"Ashe","ADC",7,"50.0%","28.6%","78.6%","57%","17%",28,24,54,3.4,"67.2%","25.0%","29%",286,148,6.4,9.3,"33.3%",542,"22.8%","24.6%",0.38,0.53
"Aurelion Sol","Middle",1,"7.1%","0.0%","7.1%","0%","100%",1,3,0,0.3,"33.3%","15.8%","0%",-1137,-344,-7,8.6,"26.6%",286,"25.1%","21.1%",0.47,0.12
"Azir","Middle",2,"14.3%","57.1%","71.4%","0%","0%",1,7,6,1,"70.0%","17.9%","0%",-327,-434,4,9.8,"33.7%",374,"25.2%","30.9%",0.35,0.35
"Bard","-",0,"0%","14.3%","14.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",4,"28.6%","28.6%","57.1%","50%","67%",0,15,37,2.5,"66.1%","21.7%","25%",-44,-146,4,1.3,"4.0%",198,"8.7%","8.9%",1.83,0.28
"Caitlyn","ADC",2,"14.3%","85.7%","100.0%","50%","0%",6,3,5,3.7,"84.6%","18.8%","50%",528,-218,4,10.2,"34.5%",637,"36.2%","30.6%",0.43,0.41
"Camille","-",0,"0%","28.6%","28.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Draven","ADC",1,"7.1%","0.0%","7.1%","100%","100%",2,1,13,15,"62.5%","11.1%","0%",-6,-70,-3,8.6,"28.3%",462,"19.1%","23.2%",0.4,0.27
"Ekko","Middle",1,"7.1%","14.3%","21.4%","100%","-",7,0,3,10,"62.5%","0.0%","-","-","-","-","-","-","-","-","-","-","-"
"Evelynn","Jungle",1,"7.1%","0.0%","7.1%","100%","100%",4,2,13,8.5,"60.7%","15.4%","100%",110,-100,-12,5.4,"15.5%",362,"14.0%","17.2%",0.58,0.19
"Ezreal","ADC",2,"14.3%","21.4%","35.7%","50%","100%",5,3,7,4,"63.2%","12.0%","0%",331,365,6,10,"31.0%",743,"33.1%","26.5%",0.4,0.41
