"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Bdd","Gen.G","Middle",8,"63%","50%",28,19,74,5.4,"63.8%","17.5%","22.9%","38%",467,153,-0.8,8.1,"21.9%",572,"22.6%","22.1%",0.55,0.23
"Ben","Afreeca Freecs","Support",6,"33%","33%",3,21,30,1.6,"61.1%","5.6%","18.9%","0%",-75,-34,-0.2,1.1,"3.1%",136,"8.0%","8.3%",1.39,0.36
"BeryL","DAMWON Gaming","Support",3,"100%","33%",3,6,33,6,"66.7%","5.6%","28.6%","33%",69,-9,0,1.4,"5.1%",212,"9.2%","10.1%",1.74,0.55
"Canna","T1","Top",3,"33%","67%",7,5,9,3.2,"59.3%","25.9%","19.2%","0%",-34,-233,-6,8,"25.2%",336,"21.3%","21.9%",0.39,0.17
"Canyon","DAMWON Gaming","Jungle",3,"100%","33%",13,6,24,6.2,"68.5%","24.1%","28.6%","67%",43,-166,-6.7,6.4,"19.0%",330,"13.9%","20.2%",1.12,0.67
"Chovy","DRX","Middle",8,"38%","17%",36,23,19,2.4,"75.3%","49.3%","17.4%","13%",-11,76,5.2,9.7,"27.3%",543,"26.9%","27.7%",0.35,0.44
"Clid","Gen.G","Jungle",8,"63%","83%",35,16,68,6.4,"64.4%","21.9%","19.3%","50%",326,118,-3,7.4,"20.1%",432,"17.1%","20.0%",0.73,0.44
"Clozer","T1","Middle",1,"0%","0%",0,2,2,1,"66.7%","0.0%","18.2%","100%",-161,355,3,9.2,"25.5%",319,"24.0%","23.5%",0.41,0.17
"Cuzz","T1","Jungle",3,"33%","67%",8,6,9,2.8,"63.0%","29.6%","23.1%","67%",3,-146,0.7,6.3,"15.6%",379,"25.2%","19.8%",0.56,0.39
"Deft","DRX","ADC",8,"38%","67%",13,20,36,2.5,"67.1%","17.8%","15.2%","0%",-388,-40,-6,8.4,"27.6%",466,"23.0%","23.4%",0.46,0.29
"Doran","DRX","Top",8,"38%","83%",11,28,44,2,"75.3%","15.1%","21.2%","0%",-33,-60,6.5,8.5,"23.8%",451,"23.2%","22.9%",0.44,0.24
"Dread","Afreeca Freecs","Jungle",3,"33%","67%",7,12,7,1.2,"56.0%","28.0%","24.0%","0%",-257,-117,-1.5,6.7,"17.9%",319,"20.5%","21.5%",0.3,0.38
"Effort","T1","Support",3,"33%","100%",2,4,17,4.8,"70.4%","7.4%","15.4%","33%",135,33,2.3,1,"1.6%",160,"9.7%","8.2%",1.76,0.3
"Faker","T1","Middle",2,"50%","0%",2,4,13,3.8,"62.5%","8.3%","26.7%","50%",116,-57,-5.5,9,"27.5%",319,"19.1%","24.1%",0.4,0.2
"Fly","Afreeca Freecs","Middle",6,"33%","100%",14,21,16,1.4,"55.6%","25.9%","18.9%","17%",-297,-223,-1.6,8.2,"24.9%",444,"25.8%","22.9%",0.41,0.23
"Ghost","DAMWON Gaming","ADC",3,"100%","33%",14,3,25,13,"72.2%","25.9%","14.3%","33%",344,54,5.3,9.6,"31.0%",662,"29.2%","26.5%",0.45,0.26
"Keria","DRX","Support",8,"38%","83%",1,34,45,1.4,"63.0%","1.4%","25.8%","13%",-211,-250,3,1.4,"4.3%",169,"8.7%","7.9%",1.84,0.54
"Kiin","Afreeca Freecs","Top",6,"33%","67%",11,20,21,1.6,"59.3%","20.4%","18.0%","0%",-450,-135,0,8,"23.9%",381,"22.1%","22.9%",0.38,0.21
"Life","Gen.G","Support",8,"63%","17%",9,17,94,6.1,"64.4%","5.6%","20.5%","50%",205,320,-4.8,1.1,"3.0%",283,"11.2%","10.1%",1.56,0.43
"Mystic","Afreeca Freecs","ADC",6,"33%","83%",14,26,21,1.3,"64.8%","25.9%","23.4%","0%",-120,29,1.6,9.4,"31.7%",435,"25.4%","25.5%",0.34,0.51
"Nuguri","DAMWON Gaming","Top",3,"100%","33%",11,3,15,8.7,"48.1%","20.4%","14.3%","67%",314,247,-2.3,8.2,"22.5%",482,"20.9%","21.8%",0.34,0.2
"Pyosik","DRX","Jungle",8,"38%","33%",12,27,42,2,"74.0%","16.4%","20.5%","13%",-81,33,4.5,7.9,"17.0%",368,"18.1%","18.1%",0.54,0.25
"Rascal","Gen.G","Top",8,"63%","0%",38,14,44,5.9,"51.3%","23.8%","16.9%","13%",322,198,-2.8,8.4,"23.2%",529,"21.5%","21.5%",0.39,0.16
"Ruler","Gen.G","ADC",8,"63%","33%",50,17,54,6.1,"65.0%","31.3%","20.5%","38%",510,230,8,9.5,"31.9%",686,"27.6%","26.4%",0.63,0.54
"ShowMaker","DAMWON Gaming","Middle",3,"100%","67%",13,3,22,11.7,"64.8%","24.1%","14.3%","0%",-284,-115,-3.7,8.4,"22.5%",627,"26.8%","21.3%",0.51,0.19
"Spirit","Afreeca Freecs","Jungle",3,"33%","0%",5,11,16,1.9,"72.4%","17.2%","18.0%","33%",-255,126,3,5.4,"15.5%",306,"17.1%","19.3%",0.69,0.48
"Teddy","T1","ADC",3,"33%","0%",8,5,13,4.2,"77.8%","29.6%","19.2%","33%",-219,-408,-9.3,9.5,"30.8%",348,"23.0%","26.2%",0.56,0.36
