"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akali","Middle",3,"6.3%","33.3%","39.6%","67%","67%",10,9,18,3.1,"56.0%","24.3%","0%",-134,41,-4,8,"21.0%",432,"20.2%","20.4%",0.41,0.14
"Alistar","Support",1,"2.1%","0.0%","2.1%","0%","100%",0,3,3,1,"50.0%","25.0%","100%",-52,-320,8,0.9,"2.4%",65,"4.7%","7.2%",1.69,0.4
"Aphelios","ADC",1,"2.1%","0.0%","2.1%","100%","100%",0,1,3,3,"23.1%","10.0%","0%",-561,-861,-9,11,"36.1%",328,"17.3%","26.3%",0.48,0.28
"Ashe","ADC",35,"72.9%","8.3%","81.2%","43%","71%",97,87,192,3.3,"69.8%","20.5%","29%",-43,114,-1.7,9.3,"30.8%",495,"26.5%","25.8%",0.36,0.35
"Azir","Middle",18,"37.5%","25.0%","62.5%","44%","28%",51,41,80,3.2,"68.6%","17.8%","6%",-126,59,1.9,9.4,"28.9%",519,"29.3%","26.0%",0.44,0.29
"Bard","Support",12,"25.0%","20.8%","45.8%","50%","42%",17,25,92,4.4,"78.4%","18.4%","25%",-122,138,0.5,1.3,"3.9%",166,"8.8%","9.5%",2.51,0.6
"Blitzcrank","Support",3,"6.3%","8.3%","14.6%","33%","100%",4,16,19,1.4,"46.9%","29.1%","33%",-197,-127,-1,0.9,"1.8%",166,"7.1%","7.2%",1.56,0.3
"Braum","Support",8,"16.7%","0.0%","16.7%","25%","75%",4,22,68,3.3,"69.2%","18.5%","13%",64,148,3.6,0.9,"1.9%",128,"6.5%","7.8%",1.63,0.28
"Caitlyn","ADC",18,"37.5%","60.4%","97.9%","56%","0%",59,34,68,3.7,"63.2%","16.9%","17%",-54,-222,-0.4,9.4,"30.6%",460,"26.6%","26.9%",0.39,0.31
"Camille","Top",3,"6.3%","6.3%","12.5%","100%","33%",12,6,21,5.5,"70.2%","33.3%","33%",472,545,13,8.3,"24.0%",534,"27.7%","22.7%",0.48,0.13
"Cassiopeia","Middle",1,"2.1%","0.0%","2.1%","0%","100%",1,6,4,0.8,"55.6%","33.3%","0%",-693,-311,6,9.5,"28.8%",351,"21.5%","23.6%",0.39,0.16
"Corki","-",0,"0%","14.6%","14.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Ekko","Middle",2,"4.2%","4.2%","8.3%","50%","100%",6,5,8,2.8,"77.8%","25.0%","0%",-200,-501,-12,8.6,"26.9%",459,"32.6%","25.5%",0.54,0.19
"Evelynn","Jungle",3,"6.3%","8.3%","14.6%","33%","0%",10,15,21,2.1,"72.1%","28.8%","0%",25,92,11,5.4,"15.1%",466,"19.4%","18.7%",0.37,0.17
"Ezreal","ADC",9,"18.8%","6.3%","25.0%","22%","44%",24,19,31,2.9,"60.4%","15.4%","22%",-114,-168,1,9,"29.8%",558,"29.4%","25.9%",0.38,0.25
"Galio","Middle",3,"6.3%","14.6%","20.8%","0%","67%",5,15,9,0.9,"73.7%","30.6%","0%",-478,-12,1.7,7.5,"20.4%",305,"21.6%","21.7%",0.51,0.04
"Gangplank","Top",12,"25.0%","29.2%","54.2%","42%","67%",36,34,64,2.9,"69.9%","22.4%","33%",240,-98,1.6,8.3,"27.8%",569,"29.9%","27.1%",0.47,0.14
"Gnar","Top",1,"2.1%","2.1%","4.2%","100%","100%",2,2,2,2,"44.4%","40.0%","100%",249,224,-7,7.8,"27.0%",553,"31.8%","23.7%",0.24,0.34
"Gragas","Jungle",1,"2.1%","0.0%","4.2%","0%","100%",3,2,4,3.5,"53.8%","15.4%","0%",-821,-841,-18,5.8,"18.4%",352,"15.0%","17.2%",0.83,0.42
"Gragas","Support",1,"2.1%","0.0%","4.2%","100%","100%",2,1,13,15,"65.2%","20.0%","100%",48,290,-2,1.4,"5.0%",250,"10.6%","9.8%",1.18,0.33
"Graves","Jungle",23,"47.9%","33.3%","81.3%","57%","22%",86,56,124,3.8,"72.4%","21.0%","48%",112,255,5.7,7.2,"22.4%",367,"18.2%","21.3%",0.26,0.73
"Hecarim","Jungle",4,"8.3%","12.5%","27.1%","75%","75%",11,14,35,3.3,"64.8%","25.5%","25%",197,34,0.5,5.8,"17.7%",273,"12.5%","17.7%",0.57,0.47
"Hecarim","Top",3,"6.3%","12.5%","27.1%","33%","67%",8,7,9,2.4,"60.7%","15.6%","0%",196,-75,-1.7,7.9,"29.0%",360,"21.0%","24.3%",0.26,0.1
"Irelia","Top",1,"2.1%","14.6%","16.7%","100%","100%",3,4,5,2,"47.1%","44.4%","0%",-251,98,15,8.8,"24.4%",332,"22.5%","22.5%",0.48,0.14
"Jax","Top",2,"4.2%","4.2%","8.3%","100%","100%",12,1,8,20,"55.6%","7.1%","50%",59,-163,-3.5,8.4,"23.2%",472,"23.9%","23.6%",0.57,0.2
"Jayce","Top",5,"10.4%","14.6%","25.0%","40%","40%",16,21,25,2,"63.1%","33.3%","40%",527,210,12.4,7.8,"25.5%",728,"33.3%","24.1%",0.41,0.24
"Jhin","ADC",3,"6.3%","0.0%","6.3%","33%","100%",8,3,13,7,"75.0%","9.1%","33%",298,250,4,9.4,"29.0%",372,"22.7%","26.5%",0.41,0.19
"Kalista","ADC",5,"10.4%","45.8%","56.3%","60%","80%",30,17,41,4.2,"69.6%","22.1%","60%",295,142,1.8,8.4,"28.2%",576,"23.7%","25.1%",0.55,0.37
"Karma","Support",6,"12.5%","6.3%","18.8%","33%","100%",1,11,38,3.5,"70.9%","16.9%","0%",-64,-42,-6.5,0.7,"2.1%",219,"12.1%","8.4%",1.31,0.38
"Kayle","-",0,"0%","2.1%","2.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Kayn","Jungle",1,"2.1%","0.0%","2.1%","0%","100%",2,6,5,1.2,"100.0%","28.6%","100%",-520,-974,-15,6.1,"22.1%",384,"16.5%","20.4%",0.29,0.39
"Kennen","Top",1,"2.1%","4.2%","6.2%","0%","100%",0,1,4,4,"40.0%","11.1%","0%",-437,-176,-2,7.2,"23.8%",484,"26.8%","18.7%",0.55,0.17
"Kha'Zix","Jungle",1,"2.1%","0.0%","2.1%","0%","100%",2,4,2,1,"66.7%","21.1%","100%",104,134,-1,4.7,"12.1%",418,"22.4%","16.2%",0.61,0.27
"Kindred","Jungle",2,"4.2%","0.0%","4.2%","0%","100%",4,7,5,1.3,"81.8%","31.8%","0%",-193,-554,-7.5,6.4,"19.5%",211,"15.3%","20.4%",0.16,0.41
"Kog'Maw","Middle",2,"4.2%","2.1%","6.2%","50%","100%",2,3,6,2.7,"53.3%","15.0%","50%",96,-190,-8.5,8.7,"27.4%",764,"36.7%","24.5%",0.41,0.16
"LeBlanc","Middle",4,"8.3%","56.3%","64.6%","50%","50%",18,5,18,7.2,"72.0%","9.1%","25%",-172,82,-5.3,8.4,"27.2%",562,"29.1%","25.8%",0.32,0.28
"Lee Sin","Jungle",15,"31.3%","18.8%","50.0%","40%","73%",46,46,86,2.9,"76.3%","20.7%","47%",93,-26,-3.1,5.5,"16.0%",236,"12.7%","18.3%",0.54,0.31
"Leona","Support",4,"8.3%","4.2%","12.5%","25%","0%",2,15,25,1.8,"57.4%","22.1%","50%",52,174,-0.8,1.1,"2.7%",125,"6.4%","8.0%",1.55,0.39
"Lillia","Jungle",3,"6.3%","33.3%","43.8%","33%","33%",12,9,19,3.4,"67.4%","20.0%","100%",390,555,12.3,6.3,"18.6%",465,"21.2%","19.6%",0.44,0.27
"Lillia","Top",2,"4.2%","33.3%","43.8%","50%","100%",7,9,15,2.4,"84.6%","45.0%","50%",425,255,13.5,8.2,"25.1%",544,"26.2%","21.9%",0.49,0.15
"Lucian","ADC",1,"2.1%","25.0%","37.5%","100%","100%",2,0,8,10,"55.6%","0.0%","0%",382,351,27,8.9,"29.7%",508,"20.8%","22.7%",0.58,0.25
"Lucian","Middle",3,"6.3%","25.0%","37.5%","0%","67%",11,12,9,1.7,"54.1%","17.6%","0%",216,-48,10,8.7,"27.2%",687,"30.6%","27.4%",0.48,0.17
"Lucian","Top",2,"4.2%","25.0%","37.5%","100%","100%",9,7,13,3.1,"71.0%","38.9%","50%",439,63,9,8.3,"28.2%",573,"28.8%","23.7%",0.64,0.27
"Lux","Support",4,"8.3%","2.1%","10.4%","50%","25%",3,8,23,3.3,"72.2%","18.2%","25%",-9,173,-0.5,1.1,"2.6%",139,"9.1%","8.8%",1.66,0.36
"Malphite","Top",1,"2.1%","0.0%","2.1%","0%","100%",1,3,2,1,"60.0%","16.7%","0%",-327,184,-3,7.3,"30.4%",405,"27.0%","23.6%",0.33,0.21
"Malzahar","Middle",1,"2.1%","0.0%","2.1%","100%","100%",0,3,9,3,"81.8%","33.3%","0%",91,123,1,9.7,"32.3%",782,"38.6%","27.5%",0.45,0.11
"Mordekaiser","Top",12,"25.0%","12.5%","37.5%","75%","50%",35,26,36,2.7,"51.4%","25.2%","17%",-243,-83,-7,8.1,"24.1%",407,"22.8%","22.1%",0.44,0.16
"Morgana","Support",5,"10.4%","33.3%","43.8%","80%","40%",4,12,35,3.3,"69.6%","21.4%","20%",18,-254,-4.4,0.8,"2.5%",174,"9.0%","8.2%",1.61,0.45
"Nautilus","Support",4,"8.3%","0.0%","8.3%","50%","50%",3,15,28,2.1,"56.4%","19.7%","75%",280,19,5.8,1,"2.9%",136,"6.7%","8.5%",1.6,0.35
"Nidalee","Jungle",7,"14.6%","33.3%","47.9%","57%","86%",29,19,51,4.2,"82.5%","22.1%","29%",147,216,4,6.4,"19.5%",433,"21.1%","21.1%",0.84,0.41
"Nocturne","Jungle",1,"2.1%","0.0%","2.1%","0%","100%",2,7,2,0.6,"100.0%","38.9%","0%",-759,-944,-15,5.2,"16.5%",212,"12.5%","18.3%",0.56,0.26
"Olaf","Jungle",4,"8.3%","66.7%","75.0%","25%","50%",4,10,13,1.7,"58.6%","21.3%","50%",161,591,14.8,6.2,"16.6%",205,"13.2%","18.8%",0.35,0.18
"Orianna","Middle",13,"27.1%","22.9%","50.0%","46%","69%",42,20,88,6.5,"78.8%","13.0%","23%",-80,85,4.5,9.4,"28.5%",467,"24.0%","25.4%",0.49,0.17
"Ornn","Top",16,"33.3%","12.5%","45.8%","44%","56%",29,48,117,3,"71.6%","21.4%","25%",-260,-117,-2.8,6.7,"19.5%",418,"22.2%","19.2%",0.42,0.12
