"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"aphromoo","Dignitas","Support",3,"0%","33%",1,8,7,1,"40.0%","5.0%","18.6%","0%",140,157,3.3,0.9,"2.3%",110,"6.9%","7.8%",1.25,0.37
"Bang","Evil Geniuses","ADC",11,"45%","82%",19,23,71,3.9,"65.2%","13.8%","14.6%","18%",-165,-130,-2,8.1,"26.8%",485,"24.0%","23.2%",0.59,0.29
"Biofrost","Team SoloMid","Support",19,"63%","63%",11,41,183,4.7,"75.5%","4.3%","20.3%","37%",-68,-157,-0.4,1.1,"2.9%",133,"6.9%","8.4%",1.71,0.48
"Bjergsen","Team SoloMid","Middle",25,"60%","32%",90,32,146,7.4,"72.2%","27.5%","12.7%","20%",55,69,0.4,9.2,"27.3%",475,"24.7%","25.1%",0.42,0.11
"Blaber","Cloud9","Jungle",11,"45%","73%",44,44,72,2.6,"73.0%","27.7%","28.4%","27%",-223,-184,-1.1,6.4,"20.6%",349,"16.6%","20.6%",0.38,0.45
"Broken Blade","Team SoloMid","Top",25,"60%","44%",76,63,144,3.5,"67.3%","23.2%","25.0%","36%",261,163,5.6,7.9,"24.3%",509,"26.3%","22.7%",0.54,0.18
"Broxah","Team Liquid","Jungle",13,"54%","54%",37,29,88,4.3,"71.4%","21.1%","17.1%","23%",150,-102,-3.1,5.3,"14.7%",237,"11.9%","17.2%",0.44,0.35
"Closer","Golden Guardians","Jungle",11,"45%","36%",23,23,40,2.7,"63.0%","23.0%","18.0%","45%",-167,-60,-1.7,6,"17.7%",241,"13.4%","18.1%",0.16,0.44
"Cody Sun","100 Thieves","ADC",3,"0%","0%",7,3,6,4.3,"59.1%","31.8%","5.0%","33%",-90,-88,-7.3,8.2,"26.5%",555,"28.3%","25.4%",0.35,0.24
"Contractz","100 Thieves","Jungle",3,"0%","100%",6,14,12,1.3,"81.8%","27.3%","23.3%","67%",-232,-459,-9.3,5.8,"18.1%",308,"17.5%","19.8%",0.86,0.41
"CoreJJ","Team Liquid","Support",13,"54%","54%",15,41,108,3,"70.3%","8.6%","24.1%","15%",-11,42,0,1.1,"3.1%",172,"8.7%","8.8%",1.69,0.5
"Damonte","Golden Guardians","Middle",11,"45%","64%",21,26,43,2.5,"64.0%","21.0%","20.3%","18%",8,-209,-3.9,9,"26.5%",508,"28.8%","25.4%",0.47,0.15
"Dardoch","Dignitas","Jungle",3,"0%","100%",2,11,12,1.3,"70.0%","10.0%","25.6%","33%",-124,-149,-1.7,6.4,"20.1%",262,"15.9%","19.3%",0.23,0.29
"Doublelift","Team SoloMid","ADC",25,"60%","48%",81,51,143,4.4,"68.5%","24.8%","20.2%","24%",-150,-39,-4.4,9.1,"29.3%",518,"26.4%","25.4%",0.4,0.39
"FBI","Golden Guardians","ADC",11,"45%","55%",29,23,46,3.3,"75.0%","29.0%","18.0%","27%",193,-139,2.4,8.8,"27.7%",469,"26.8%","25.6%",0.41,0.31
"Fenix","Dignitas","Middle",3,"0%","67%",7,7,6,1.9,"65.0%","35.0%","16.3%","33%",-134,-102,0,8.3,"23.4%",547,"29.2%","23.8%",0.29,0.12
"Goldenglue","Evil Geniuses","Middle",11,"45%","55%",33,33,70,3.1,"74.6%","23.9%","21.0%","27%",-253,-5,2,8.4,"25.4%",525,"25.1%","24.3%",0.51,0.19
"Hauntzer","Golden Guardians","Top",11,"45%","73%",18,34,38,1.6,"56.0%","18.0%","26.6%","45%",74,166,2.3,8.2,"25.2%",407,"22.6%","22.4%",0.52,0.2
