"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",1,"3.3%","0.0%","3.3%","0%","100%",1,4,5,1.5,"75.0%","25.0%","0%",-1218,-922,-36,5.9,"21.9%",318,"26.4%","18.9%",0.45,0.14
"Akali","Middle",9,"30.0%","40.0%","70.0%","44%","33%",36,26,29,2.5,"55.6%","20.3%","22%",272,49,-1.4,8.4,"26.1%",388,"23.2%","24.5%",0.34,0.14
"Aphelios","ADC",1,"3.3%","10.0%","13.3%","0%","100%",1,7,1,0.3,"22.2%","26.9%","100%",202,-324,1,8.4,"29.3%",230,"16.4%","21.6%",0.32,0.39
"Ashe","ADC",20,"66.7%","13.3%","80.0%","70%","40%",86,44,141,5.2,"65.8%","17.7%","25%",-35,-70,-2.5,9.5,"31.6%",534,"27.2%","26.4%",0.35,0.38
"Azir","Middle",9,"30.0%","16.7%","46.7%","22%","56%",34,26,41,2.9,"66.4%","16.9%","0%",31,92,1.4,9.1,"29.0%",483,"27.1%","26.2%",0.35,0.19
"Bard","Support",1,"3.3%","3.3%","6.7%","0%","0%",0,8,13,1.6,"81.3%","28.6%","0%",-419,740,-4,1,"2.7%",190,"8.5%","7.8%",2.11,0.42
"Blitzcrank","Support",1,"3.3%","3.3%","6.7%","0%","100%",3,3,4,2.3,"63.6%","21.4%","0%",342,513,-4,0.9,"1.9%",130,"8.4%","8.7%",1.63,0.24
"Braum","Support",8,"26.7%","0.0%","26.7%","38%","88%",4,30,64,2.3,"62.4%","22.9%","25%",-122,-60,0.3,0.9,"2.1%",149,"7.9%","7.9%",1.73,0.28
"Caitlyn","ADC",1,"3.3%","96.7%","100.0%","0%","0%",3,3,6,3,"56.3%","10.7%","0%",21,-154,5,9.6,"30.6%",421,"18.8%","27.3%",0.44,0.39
"Camille","Top",7,"23.3%","33.3%","56.7%","43%","57%",20,26,43,2.4,"56.8%","22.2%","14%",-77,-43,-6.9,7.1,"25.5%",371,"20.6%","21.4%",0.36,0.13
"Cho'Gath","-",0,"0%","3.3%","3.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
