"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Ashe","ADC",19,"63.3%","30.0%","93.3%","53%","11%",59,47,126,3.9,"68.8%","17.5%","16%",142,135,6.1,9.1,"29.6%",480,"22.7%","25.2%",0.41,0.36
"Azir","Middle",5,"16.7%","3.3%","20.0%","20%","100%",6,16,16,1.4,"68.8%","19.8%","20%",-103,228,4.6,8.5,"25.7%",390,"24.4%","23.0%",0.46,0.19
"Bard","Support",5,"16.7%","26.7%","43.3%","60%","20%",4,9,44,5.3,"70.6%","18.8%","20%",23,240,3.8,1.1,"3.1%",129,"7.4%","8.8%",2.06,0.4
"Braum","Support",6,"20.0%","6.7%","26.7%","67%","50%",3,19,62,3.4,"75.6%","22.9%","50%",71,64,3.5,0.9,"1.9%",142,"6.8%","8.6%",1.51,0.27
"Caitlyn","ADC",3,"10.0%","90.0%","100.0%","67%","0%",20,11,19,3.5,"56.5%","28.2%","33%",772,245,10.5,9,"26.7%",726,"27.8%","25.6%",0.43,0.51
"Camille","Top",4,"13.3%","40.0%","53.3%","75%","50%",18,13,24,3.2,"59.2%","27.7%","25%",-87,-135,-8.3,8.1,"27.2%",481,"23.1%","22.5%",0.37,0.12
"Ekko","Middle",1,"3.3%","3.3%","6.7%","0%","100%",10,5,8,3.6,"66.7%","23.8%","-","-","-","-",8.2,"-",745,"27.0%","26.4%",0.09,0.17
"Evelynn","Jungle",1,"3.3%","0.0%","3.3%","100%","100%",8,1,7,15,"75.0%","33.3%","100%",706,101,2,7.3,"15.5%",629,"29.5%","22.1%",0.45,0.12
"Ezreal","ADC",13,"43.3%","3.3%","46.7%","54%","77%",50,28,57,3.8,"64.8%","16.7%","46%",-157,-89,-2.8,9,"30.8%",701,"37.2%","26.8%",0.45,0.28
"Fiora","Top",1,"3.3%","0.0%","3.3%","0%","100%",4,3,3,2.3,"43.8%","15.0%","0%",-13,28,8,9.6,"32.7%",458,"19.1%","26.5%",0.26,0.34
"Galio","Middle",5,"16.7%","36.7%","53.3%","60%","80%",20,16,32,3.3,"69.3%","21.9%","20%",-394,-362,-10.8,7.6,"22.6%",387,"18.8%","22.4%",0.48,0.1
"Gangplank","Top",3,"10.0%","13.3%","23.3%","33%","67%",7,8,21,3.5,"53.8%","16.7%","0%",-423,-112,-11.7,7.8,"30.3%",641,"28.8%","27.1%",0.47,0.18
"Gnar","Top",4,"13.3%","3.3%","16.7%","0%","75%",6,14,15,1.5,"52.5%","18.9%","0%",-201,102,0.8,7.2,"23.0%",410,"22.6%","21.9%",0.48,0.24
"Gragas","Jungle",1,"3.3%","0.0%","3.3%","100%","100%",1,3,14,5,"75.0%","23.1%","0%",-304,-530,-18,5.3,"20.1%",412,"18.1%","16.1%",0.82,0.23
"Graves","Jungle",12,"40.0%","50.0%","90.0%","58%","0%",39,30,63,3.4,"66.7%","18.6%","50%",-64,-1,3.6,6.7,"21.0%",355,"18.5%","20.9%",0.36,0.52
"Jarvan IV","Jungle",2,"6.7%","10.0%","16.7%","100%","100%",3,5,25,5.6,"73.7%","27.8%","0%",150,355,8.5,5.7,"15.5%",305,"14.6%","16.7%",0.4,0.41
"Jax","Top",3,"10.0%","6.7%","16.7%","100%","100%",17,11,20,3.4,"59.7%","39.3%","67%",856,818,15,8.6,"28.4%",606,"27.5%","25.6%",0.37,0.16
"Jayce","Top",6,"20.0%","16.7%","36.7%","33%","33%",27,23,25,2.3,"61.2%","26.1%","17%",71,-39,2.8,8.1,"27.5%",600,"29.6%","25.2%",0.36,0.3
"Jhin","ADC",15,"50.0%","6.7%","56.7%","47%","87%",70,28,90,5.7,"74.1%","12.6%","13%",-74,-19,-3.9,9,"31.6%",486,"24.7%","27.1%",0.41,0.28
"Kalista","ADC",5,"16.7%","3.3%","20.0%","20%","20%",10,14,18,2,"59.6%","18.9%","20%",-106,-160,-0.4,9,"30.1%",286,"18.3%","25.2%",0.41,0.35
"Karma","Middle",3,"10.0%","16.7%","30.0%","0%","67%",5,6,14,3.2,"79.2%","10.9%","0%",-311,-399,-7.7,7.6,"23.1%",418,"24.5%","22.2%",0.5,0.2
"Karma","Support",1,"3.3%","16.7%","30.0%","0%","100%",0,2,2,1,"66.7%","13.3%","100%",-207,-464,-4,0.4,"1.5%",153,"13.1%","7.2%",0.62,0.22
"Kayle","Top",2,"6.7%","0.0%","6.7%","0%","100%",2,9,7,1,"52.9%","25.0%","0%",105,323,2,9.3,"31.3%",508,"28.8%","26.1%",0.39,0.13
"Kayn","Jungle",1,"3.3%","0.0%","3.3%","100%","100%",7,3,7,4.7,"70.0%","30.0%","100%",462,320,-4,6.4,"21.4%",615,"23.8%","21.0%",0.41,0.35
"Kennen","Top",2,"6.7%","3.3%","10.0%","50%","50%",2,7,11,1.9,"43.3%","21.9%","0%",48,-8,-1,8.3,"26.1%",615,"31.9%","23.1%",0.32,0.23
"Kindred","Jungle",9,"30.0%","3.3%","33.3%","56%","67%",28,25,46,3,"60.7%","23.6%","33%",-65,-145,-6.6,6,"18.8%",345,"17.1%","19.0%",0.23,0.49
"Lee Sin","Jungle",6,"20.0%","20.0%","40.0%","33%","67%",14,20,40,2.7,"74.0%","18.9%","17%",-24,-124,-2.8,5.3,"13.4%",241,"12.0%","16.9%",0.58,0.29
"Leona","Support",12,"40.0%","6.7%","46.7%","75%","58%",5,40,90,2.4,"52.2%","26.3%","33%",16,-6,0.3,1.1,"2.9%",106,"5.5%","8.4%",1.47,0.37
"Lillia","Jungle",4,"13.3%","26.7%","40.0%","0%","25%",14,13,23,2.8,"84.1%","15.3%","75%",139,-18,-2,6,"18.3%",609,"26.5%","21.1%",0.45,0.3
"Lucian","Middle",4,"13.3%","20.0%","43.3%","75%","50%",19,6,23,7,"64.6%","13.6%","0%",525,137,7,9.4,"28.6%",504,"25.8%","25.3%",0.21,0.28
"Lucian","Top",3,"10.0%","20.0%","43.3%","67%","67%",12,9,13,2.8,"65.8%","26.5%","33%",298,-51,5.7,8.1,"26.8%",593,"32.8%","23.8%",0.41,0.21
"Lulu","Support",1,"3.3%","0.0%","3.3%","0%","100%",0,4,13,3.3,"100.0%","25.0%","0%",-399,4,-11,0.5,"2.2%",205,"8.9%","9.8%",1.65,0.51
"Lux","Support",6,"20.0%","6.7%","26.7%","67%","33%",3,16,82,5.3,"74.6%","21.1%","67%",3,-96,-5.4,1,"3.5%",224,"9.5%","10.2%",1.64,0.41
"Malphite","Top",1,"3.3%","0.0%","3.3%","100%","100%",3,2,8,5.5,"91.7%","40.0%","100%",231,195,6,9.4,"25.0%",408,"32.6%","24.5%",0.41,0.03
"Mordekaiser","Top",2,"6.7%","3.3%","10.0%","0%","0%",1,13,2,0.2,"23.1%","33.3%","0%",-1110,-1028,-16,6.3,"19.1%",356,"25.6%","17.4%",0.37,0.05
"Morgana","Support",3,"10.0%","0.0%","10.0%","67%","67%",3,11,25,2.5,"68.3%","21.2%","0%",-2,-1,-1.5,1.2,"3.4%",236,"12.6%","11.5%",1.41,0.41
"Nautilus","Support",12,"40.0%","23.3%","63.3%","25%","33%",9,49,65,1.5,"53.2%","25.8%","8%",26,-29,0.7,1,"2.5%",124,"6.9%","8.1%",1.57,0.22
"Nidalee","Jungle",6,"20.0%","70.0%","90.0%","67%","50%",23,16,51,4.6,"81.3%","21.9%","67%",498,587,13,7,"20.3%",386,"20.8%","21.0%",0.45,0.47
"Olaf","Jungle",7,"23.3%","13.3%","36.7%","43%","57%",20,23,38,2.5,"66.7%","20.9%","57%",33,143,4,5.4,"16.8%",309,"16.5%","19.4%",0.44,0.47
"Orianna","Middle",9,"30.0%","33.3%","63.3%","44%","56%",41,17,61,6,"72.9%","14.8%","22%",-51,20,1.3,8.6,"26.0%",578,"29.5%","24.8%",0.44,0.2
"Ornn","Top",7,"23.3%","43.3%","66.7%","71%","57%",16,9,46,6.9,"65.3%","12.0%","29%",-62,86,-2.3,7.9,"24.2%",397,"18.8%","21.6%",0.44,0.12
"Pantheon","Support",1,"3.3%","10.0%","13.3%","0%","0%",1,10,6,0.7,"43.8%","40.0%","0%",114,356,2,1.5,"4.7%",330,"12.0%","8.5%",1.82,0.33
"Qiyana","Middle",1,"3.3%","0.0%","3.3%","0%","100%",4,4,4,2,"50.0%","16.0%","0%",106,231,7,7.7,"23.3%",417,"15.2%","22.5%",0.81,0.75
"Quinn","Top",1,"3.3%","16.7%","20.0%","100%","100%",5,2,10,7.5,"75.0%","13.3%","100%",1084,1019,34,8.7,"28.7%",702,"24.7%","27.1%",0.44,0.5
"Renekton","Top",14,"46.7%","50.0%","96.7%","57%","0%",39,41,85,3,"59.0%","21.6%","7%",38,-217,0.4,7.8,"24.3%",334,"16.3%","22.1%",0.43,0.17
"Rumble","-",0,"0%","3.3%","3.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Senna","ADC",4,"13.3%","0.0%","13.3%","75%","75%",15,10,39,5.4,"85.7%","20.0%","25%",-263,-234,-5.8,7.4,"23.2%",533,"24.6%","22.9%",0.46,0.35
"Sett","Jungle",6,"20.0%","66.7%","96.7%","50%","50%",8,18,59,3.7,"62.6%","23.7%","17%",-517,-491,-12.4,4.9,"14.5%",252,"13.0%","15.5%",0.44,0.49
"Sett","Middle",1,"3.3%","66.7%","96.7%","100%","0%",5,1,9,14,"56.0%","6.3%","100%",-106,-231,-7,6.9,"18.8%",476,"17.7%","20.9%",0.42,0.51
"Sett","Support",2,"6.7%","66.7%","96.7%","0%","100%",3,8,11,1.8,"58.3%","23.5%","50%",40,95,-0.5,1.1,"3.2%",208,"11.1%","10.3%",1.76,0.44
"Skarner","Jungle",2,"6.7%","0.0%","6.7%","0%","100%",0,4,18,4.5,"64.3%","12.5%","0%",-276,89,1,5.3,"15.4%",115,"6.5%","15.2%",1.27,0.6
"Sylas","Middle",2,"6.7%","10.0%","16.7%","50%","50%",12,6,2,2.3,"66.7%","26.1%","0%",-497,34,-8,8.1,"24.6%",574,"29.5%","25.3%",0.37,0.14
"Syndra","Middle",8,"26.7%","10.0%","36.7%","75%","63%",24,20,48,3.6,"58.5%","17.4%","25%",-47,-73,5,8.3,"23.9%",627,"28.9%","21.2%",0.42,0.18
