"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"369","Top Esports","Top",8,"75%","75%",31,25,43,3,"51.7%","21.7%","22.7%","25%",171,261,5.5,8.6,"28.0%",557,"23.4%","24.5%",0.3,0.35
"Angel","Suning","Middle",10,"60%","50%",44,23,60,4.5,"62.7%","26.5%","14.7%","10%",127,70,7,8.1,"24.2%",613,"29.4%","23.2%",0.46,0.18
"Baolan","Invictus Gaming","Support",3,"0%","33%",0,12,11,0.9,"61.1%","0.0%","25.5%","0%",-286,241,4.3,1.1,"3.3%",115,"7.7%","8.0%",1.38,0.2
"beishang","Team WE","Jungle",4,"25%","25%",8,10,13,2.1,"75.0%","28.6%","16.4%","50%",113,226,13,6.3,"18.0%",284,"17.4%","20.9%",0.31,0.39
"Bin","Suning","Top",10,"60%","30%",38,44,55,2.1,"56.0%","22.9%","28.2%","20%",-14,-122,-1,7.5,"23.3%",504,"23.8%","23.0%",0.39,0.16
"Biubiu","Victory Five","Top",8,"50%","50%",26,23,41,2.9,"63.2%","24.5%","20.9%","13%",-195,-309,-2.1,7.9,"27.0%",453,"24.6%","24.0%",0.39,0.21
"Crisp","FunPlus Phoenix","Support",4,"25%","25%",4,18,21,1.4,"58.1%","9.3%","27.7%","25%",-8,-169,2,1,"2.6%",138,"7.6%","8.4%",1.41,0.15
"Doinb","FunPlus Phoenix","Middle",4,"25%","100%",13,8,25,4.8,"88.4%","30.2%","12.3%","50%",37,118,3,9.2,"29.1%",554,"31.5%","26.8%",0.51,0.22
"GimGoon","FunPlus Phoenix","Top",4,"25%","75%",10,13,16,2,"60.5%","23.3%","20.0%","25%",305,423,0.5,7.1,"23.0%",458,"25.8%","23.1%",0.46,0.13
"huanfeng","Suning","ADC",10,"60%","60%",48,21,68,5.5,"69.9%","28.9%","13.5%","10%",-12,-90,-3.4,8.5,"31.5%",520,"23.4%","26.1%",0.42,0.26
"JackeyLove","Top Esports","ADC",8,"75%","50%",45,20,64,5.5,"76.2%","31.5%","18.2%","13%",-82,131,6.5,8.7,"27.2%",646,"26.9%","25.2%",0.37,0.44
"Jiumeng","Team WE","ADC",4,"25%","100%",10,12,10,1.7,"71.4%","35.7%","19.7%","50%",-12,-14,-6.8,9.1,"33.1%",668,"39.9%","27.9%",0.41,0.36
"Kanavi","JD Gaming","Jungle",9,"56%","56%",35,28,64,3.5,"73.3%","25.9%","22.4%","67%",332,136,-0.1,6.6,"19.9%",466,"22.5%","20.6%",0.3,0.41
"Karsa","Top Esports","Jungle",8,"75%","38%",30,24,64,3.9,"65.7%","21.0%","21.8%","38%",-247,-285,-5.4,6.1,"19.0%",368,"16.7%","19.2%",0.62,0.45
"Killua","LGD Gaming","Support",3,"67%","100%",2,7,28,4.3,"65.2%","4.3%","26.9%","33%",-192,-209,-5.3,0.7,"1.5%",188,"8.1%","8.6%",1.55,0.28
