"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Akali","Middle",2,"4.1%","14.3%","18.4%","100%","100%",12,4,8,5,"48.8%","14.3%","0%",277,368,8.5,9,"24.4%",432,"17.6%","22.1%",0.29,0.27
"Alistar","Support",5,"10.2%","6.1%","16.3%","0%","100%",6,25,24,1.2,"62.5%","25.0%","0%",-166,28,2.2,1.2,"3.2%",118,"6.4%","8.8%",1.75,0.42
"Aphelios","ADC",3,"6.1%","0.0%","6.1%","67%","100%",13,6,14,4.5,"64.3%","23.1%","33%",317,292,5,8.9,"30.1%",561,"28.6%","25.8%",0.43,0.24
"Ashe","ADC",23,"46.9%","26.5%","73.5%","48%","13%",66,57,141,3.6,"67.9%","18.3%","30%",150,16,3.4,9.3,"29.6%",464,"24.9%","25.7%",0.4,0.38
"Azir","Middle",7,"14.3%","4.1%","18.4%","29%","86%",15,14,25,2.9,"55.6%","13.5%","14%",-84,43,-3.6,9,"27.7%",352,"23.7%","25.0%",0.4,0.25
"Bard","Support",12,"24.5%","10.2%","34.7%","67%","50%",8,27,132,5.2,"79.5%","18.4%","25%",-117,72,0.3,1.4,"4.0%",184,"9.0%","9.6%",2.15,0.54
"Blitzcrank","Support",3,"6.1%","6.1%","12.2%","67%","100%",2,8,20,2.8,"46.8%","22.2%","0%",325,128,-1,0.8,"2.3%",135,"7.8%","7.9%",1.45,0.22
"Braum","Support",3,"6.1%","4.1%","10.2%","33%","100%",2,6,20,3.7,"73.3%","24.0%","0%",2,159,1.3,1,"2.3%",131,"7.9%","8.4%",1.63,0.31
"Caitlyn","ADC",7,"14.3%","36.7%","51.0%","57%","29%",23,7,32,7.9,"67.1%","12.1%","29%",-60,38,1.6,10,"29.9%",552,"33.2%","27.7%",0.45,0.4
"Camille","Top",11,"22.4%","42.9%","65.3%","55%","9%",54,35,48,2.9,"59.0%","22.7%","45%",250,17,-3.3,8,"25.8%",504,"25.2%","24.7%",0.38,0.23
"Draven","ADC",2,"4.1%","0.0%","4.1%","50%","100%",5,3,9,4.7,"66.7%","17.6%","0%",219,367,9,8.6,"25.6%",379,"22.5%","24.3%",0.5,0.3
"Ekko","Middle",6,"12.2%","6.1%","18.4%","83%","100%",18,6,42,10,"66.7%","13.3%","0%",-53,-78,-8.8,9.5,"26.1%",399,"22.4%","23.4%",0.3,0.26
"Evelynn","Jungle",3,"6.1%","12.2%","18.4%","67%","100%",10,7,11,3,"63.6%","25.9%","33%",-264,-33,1,6.5,"17.5%",328,"21.8%","20.2%",0.42,0.14
"Ezreal","ADC",9,"18.4%","28.6%","46.9%","56%","78%",28,22,35,2.9,"64.9%","20.0%","11%",-247,-1,-1.7,9.2,"29.4%",663,"32.7%","26.4%",0.43,0.29
"Galio","Middle",9,"18.4%","4.1%","22.4%","44%","78%",27,23,43,3,"68.0%","22.1%","33%",-224,-242,-8.4,7.9,"21.7%",289,"16.9%","21.1%",0.41,0.17
"Gangplank","Top",3,"6.1%","8.2%","14.3%","33%","33%",5,9,11,1.8,"53.3%","21.4%","0%",-152,-235,-0.7,8.4,"26.5%",534,"31.6%","26.4%",0.37,0.14
"Gnar","Top",1,"2.0%","0.0%","2.0%","100%","100%",1,2,7,4,"50.0%","33.3%","0%",-247,-33,9,8.5,"23.3%",356,"19.8%","20.0%",0.43,0.24
"Gragas","Jungle",2,"4.1%","2.0%","6.1%","100%","0%",9,3,19,9.3,"58.3%","9.4%","50%",30,391,7,5.8,"18.3%",463,"18.9%","17.7%",1.06,0.38
"Graves","Jungle",36,"73.5%","16.3%","89.8%","44%","19%",122,95,171,3.1,"67.2%","19.9%","22%",-58,-118,-2.1,6.8,"21.4%",364,"19.6%","20.7%",0.46,0.48
"Hecarim","Jungle",3,"6.1%","6.1%","12.2%","33%","67%",5,6,11,2.7,"55.2%","17.1%","0%",-243,-39,-4,6,"18.3%",194,"12.6%","18.3%",0.34,0.28
"Irelia","Top",2,"4.1%","12.2%","16.3%","50%","100%",8,7,6,2,"56.0%","36.8%","100%",377,586,20,9.7,"30.3%",448,"26.4%","26.7%",0.48,0.12
"Jarvan IV","Jungle",1,"2.0%","0.0%","2.0%","100%","100%",1,0,12,13,"76.5%","0.0%","100%",-137,311,11,5.5,"13.5%",194,"8.3%","15.7%",0.56,0.35
"Jax","Top",3,"6.1%","6.1%","12.2%","100%","67%",15,8,11,3.3,"49.1%","30.8%","33%",-189,50,-5.7,8.9,"29.7%",513,"26.2%","23.8%",0.45,0.15
"Jayce","Middle",2,"4.1%","6.1%","16.3%","0%","50%",5,11,8,1.2,"72.2%","22.4%","0%",-245,-199,1.5,7.7,"21.2%",569,"31.8%","22.3%",0.44,0.2
"Jayce","Top",3,"6.1%","6.1%","16.3%","33%","33%",12,10,7,1.9,"67.9%","20.4%","33%",285,165,8,9.2,"24.9%",702,"34.4%","26.6%",0.39,0.32
"Jhin","ADC",16,"32.7%","12.2%","44.9%","56%","75%",56,21,72,6.1,"61.0%","11.1%","19%",54,32,-3.1,9,"28.8%",447,"24.0%","25.0%",0.46,0.26
"Kalista","ADC",7,"14.3%","28.6%","42.9%","29%","71%",16,23,34,2.2,"61.0%","22.3%","29%",193,56,4.7,8.9,"29.5%",332,"19.4%","25.3%",0.55,0.39
"Karma","Support",3,"6.1%","6.1%","12.2%","67%","33%",1,4,14,3.8,"78.9%","19.0%","0%",-179,-7,-12.7,0.7,"2.2%",155,"8.6%","8.4%",1.49,0.44
"Karthus","ADC",1,"2.0%","2.0%","4.1%","0%","0%",3,6,7,1.7,"66.7%","21.4%","0%",-88,290,-17,7.4,"26.5%",773,"34.2%","23.0%",0.37,0.06
"Kassadin","Middle",2,"4.1%","6.1%","10.2%","0%","50%",5,12,1,0.5,"42.9%","26.7%","0%",-1266,-562,-24,6.9,"27.6%",302,"21.2%","23.8%",0.41,0.1
"Kayle","Top",1,"2.0%","0.0%","2.0%","0%","100%",0,2,0,0,"0.0%","18.2%","0%",316,-215,3,9.3,"26.1%",499,"33.2%","25.8%",0.52,0.07
"Kennen","Top",2,"4.1%","0.0%","4.1%","100%","50%",8,8,16,3,"64.9%","50.0%","0%",159,-594,-9.5,8.1,"23.7%",590,"28.6%","21.5%",0.33,0.25
"Kindred","Jungle",7,"14.3%","10.2%","24.5%","43%","100%",18,15,35,3.5,"79.1%","21.4%","29%",134,-80,-2.7,6.2,"18.4%",278,"16.6%","19.8%",0.3,0.58
"LeBlanc","Middle",1,"2.0%","0.0%","2.0%","0%","0%",2,4,4,1.5,"60.0%","19.0%","0%",-228,-140,-8,7.8,"25.5%",323,"21.6%","25.3%",0.22,0.16
"Lee Sin","Jungle",5,"10.2%","4.1%","14.3%","0%","80%",13,19,33,2.4,"86.8%","19.8%","60%",-195,-430,-13,4.7,"13.1%",271,"14.5%","17.8%",0.58,0.31
"Leona","Support",9,"18.4%","26.5%","44.9%","67%","44%",10,32,77,2.7,"60.4%","29.4%","33%",107,150,-0.7,1.1,"2.8%",128,"7.1%","8.8%",1.37,0.37
"Lillia","Jungle",19,"38.8%","18.4%","57.1%","53%","74%",56,57,133,3.3,"67.5%","21.0%","63%",163,279,5.7,6.6,"19.9%",418,"21.3%","19.8%",0.58,0.35
"Lucian","Middle",9,"18.4%","73.5%","91.8%","67%","0%",38,23,44,3.6,"62.1%","19.7%","56%",209,-64,-1,8.8,"27.4%",504,"23.8%","25.7%",0.37,0.33
"Lulu","Middle",1,"2.0%","6.1%","22.4%","0%","100%",2,3,1,1,"75.0%","21.4%","100%",162,494,-5,7.1,"13.2%",181,"14.3%","21.5%",0.26,0.26
"Lulu","Support",4,"8.2%","6.1%","22.4%","75%","25%",4,6,50,9,"83.1%","16.7%","25%",67,275,-2.8,0.7,"1.7%",99,"4.8%","9.0%",1.41,0.24
"Lulu","Top",3,"6.1%","6.1%","22.4%","33%","33%",1,9,9,1.1,"58.8%","23.7%","33%",217,453,7.7,7,"18.9%",270,"19.0%","19.8%",0.41,0.17
"Lux","Support",4,"8.2%","4.1%","12.2%","50%","50%",0,7,27,3.9,"79.4%","21.2%","50%",-28,-198,6.3,1.3,"3.2%",114,"7.1%","8.9%",1.58,0.43
"Malphite","Top",4,"8.2%","0.0%","8.2%","50%","100%",8,7,26,4.9,"66.7%","15.9%","0%",-650,-403,-26.3,7,"23.0%",356,"21.8%","20.6%",0.39,0.19
"Maokai","Top",1,"2.0%","0.0%","2.0%","100%","100%",1,3,8,3,"69.2%","42.9%","0%",-39,59,-5,8.2,"21.5%",553,"24.3%","17.7%",0.33,0.1
"Miss Fortune","ADC",3,"6.1%","0.0%","6.1%","100%","100%",7,5,25,6.4,"60.4%","12.5%","0%",200,136,8,10,"31.6%",495,"24.6%","25.3%",0.36,0.51
"Mordekaiser","Top",2,"4.1%","6.1%","10.2%","0%","100%",8,7,5,1.9,"68.4%","21.2%","0%",-134,244,2,7.4,"23.1%",378,"25.6%","24.3%",0.36,0.07
"Morgana","-",0,"0%","2.0%","2.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Nautilus","Support",12,"24.5%","6.1%","30.6%","17%","75%",8,56,63,1.3,"61.2%","24.1%","17%",-9,-72,2.5,1.2,"3.5%",128,"8.3%","8.4%",1.49,0.38
"Nidalee","Jungle",15,"30.6%","61.2%","91.8%","60%","40%",50,30,87,4.6,"69.9%","16.9%","27%",-10,77,3.5,6.8,"19.7%",400,"21.7%","20.3%",0.91,0.55
"Nocturne","Middle",1,"2.0%","0.0%","2.0%","100%","100%",5,3,5,3.3,"66.7%","33.3%","0%",-875,-470,-18,8.3,"24.1%",331,"18.1%","24.1%",0.5,0.19
"Orianna","Middle",18,"36.7%","18.4%","55.1%","50%","44%",64,41,87,3.7,"64.5%","18.2%","17%",-206,-106,-1.2,8.9,"26.9%",433,"23.4%","25.0%",0.42,0.22
"Ornn","Top",17,"34.7%","57.1%","91.8%","53%","18%",25,36,92,3.3,"58.2%","19.4%","12%",-267,-171,-8.4,7.5,"21.5%",361,"21.4%","20.0%",0.45,0.15
"Pantheon","Support",10,"20.4%","22.4%","42.9%","60%","30%",25,31,58,2.7,"58.5%","27.7%","40%",197,-85,-1.2,1.9,"6.4%",283,"14.4%","11.4%",2.2,0.71
"Quinn","Top",1,"2.0%","0.0%","2.0%","0%","100%",2,4,6,2,"88.9%","26.7%","100%",495,-162,9,8.1,"22.6%",523,"27.2%","23.3%",0.53,0.28
"Rakan","Support",8,"16.3%","14.3%","30.6%","50%","13%",6,21,47,2.5,"60.9%","25.0%","25%",-60,29,1.8,1.3,"3.5%",111,"6.5%","8.6%",1.86,0.48
"Renekton","Top",16,"32.7%","44.9%","77.6%","38%","19%",44,58,72,2,"55.8%","23.5%","13%",65,52,3.8,8.1,"25.3%",392,"22.3%","23.4%",0.41,0.21
"Ryze","Middle",1,"2.0%","0.0%","2.0%","0%","100%",1,4,4,1.3,"62.5%","18.2%","0%",-715,-516,-9,7.4,"27.4%",249,"20.1%","20.3%",0.42,0.04
"Senna","ADC",23,"46.9%","16.3%","65.3%","52%","39%",48,44,196,5.5,"73.5%","14.6%","22%",-54,-68,-0.2,7.8,"22.7%",449,"24.3%","22.0%",0.41,0.36
"Senna","Support",1,"2.0%","16.3%","65.3%","0%","0%",1,4,2,0.8,"75.0%","23.5%","0%",-247,-61,-6,1.1,"4.5%",360,"24.4%","11.8%",1.38,0.95
"Sett","Middle",3,"6.1%","28.6%","53.1%","100%","33%",9,1,22,31,"57.4%","5.3%","67%",383,-64,9.7,7.9,"20.5%",335,"14.5%","20.4%",0.36,0.25
"Sett","Support",6,"12.2%","28.6%","53.1%","67%","33%",13,26,54,2.6,"59.8%","29.2%","33%",103,10,0.2,1.4,"4.0%",261,"12.2%","9.9%",1.71,0.61
"Sett","Top",3,"6.1%","28.6%","53.1%","33%","100%",8,12,15,1.9,"59.0%","30.0%","33%",239,468,14.3,7.5,"21.4%",503,"28.9%","23.0%",0.36,0.24
"Shen","Top",5,"10.2%","36.7%","46.9%","60%","100%",9,15,31,2.7,"59.7%","25.4%","20%",325,335,9.8,7.2,"22.2%",350,"17.0%","19.3%",0.45,0.17
"Sion","Top",3,"6.1%","0.0%","6.1%","33%","100%",7,8,14,2.6,"38.9%","17.0%","0%",-121,95,2,8.9,"26.4%",346,"18.9%","22.7%",0.46,0.14
"Swain","-",0,"0%","12.2%","12.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Sylas","Jungle",2,"4.1%","10.2%","18.4%","100%","50%",5,4,20,6.3,"61.0%","25.0%","50%",521,919,17,6.3,"16.1%",333,"16.1%","17.0%",0.28,0.4
"Sylas","Middle",1,"2.0%","10.2%","18.4%","100%","100%",1,1,4,5,"71.4%","25.0%","0%",67,43,3,9,"23.5%",354,"22.5%","21.1%",0.29,0.35
"Sylas","Top",1,"2.0%","10.2%","18.4%","100%","100%",5,0,6,11,"57.9%","0.0%","100%",413,47,6,8.4,"24.4%",353,"21.3%","21.7%",0.45,0.1
"Syndra","Middle",23,"46.9%","38.8%","85.7%","39%","35%",71,54,96,3.1,"62.1%","17.8%","9%",258,222,10,8.9,"26.5%",498,"27.3%","24.3%",0.43,0.19
"Tahm Kench","Support",9,"18.4%","16.3%","34.7%","67%","67%",11,29,76,3,"58.0%","22.8%","11%",25,-100,-0.7,1,"2.1%",156,"7.7%","8.8%",1.88,0.3
"Taric","Support",2,"4.1%","0.0%","4.1%","50%","100%",0,2,11,5.5,"61.1%","16.7%","0%",32,-13,-3,1,"2.4%",53,"4.0%","7.9%",1.6,0.21
"Thresh","Support",7,"14.3%","18.4%","32.7%","29%","14%",4,19,36,2.1,"59.7%","21.3%","14%",-195,-156,-0.1,1.2,"3.3%",97,"5.4%","8.1%",1.67,0.51
"Twisted Fate","Middle",6,"12.2%","69.4%","81.6%","67%","17%",26,12,50,6.3,"71.0%","12.9%","17%",383,258,3.3,8.5,"26.1%",579,"23.7%","25.0%",0.29,0.26
"Twitch","ADC",2,"4.1%","24.5%","28.6%","0%","50%",6,6,2,1.3,"80.0%","17.1%","0%",-1010,-668,-24,7.8,"29.8%",551,"36.7%","28.8%",0.35,0.3
"Urgot","Top",1,"2.0%","0.0%","2.0%","0%","0%",3,4,1,1,"66.7%","25.0%","0%",247,33,-9,7.3,"21.7%",243,"18.5%","23.6%",0.49,0.21
"Vayne","Middle",1,"2.0%","0.0%","2.0%","100%","100%",11,1,2,13,"56.5%","11.1%","100%",1210,624,17,7.9,"27.7%",404,"21.2%","25.6%",0.4,0.47
"Vladimir","Top",1,"2.0%","2.0%","4.1%","100%","100%",1,0,2,3,"37.5%","0.0%","0%",162,-53,1,9.6,"26.8%",633,"26.8%","23.9%",0.34,0.31
"Volibear","Jungle",5,"10.2%","20.4%","57.1%","60%","80%",12,11,31,3.9,"72.9%","17.7%","40%",-51,-442,-10,4.7,"12.4%",196,"11.0%","16.4%",0.52,0.4
"Volibear","Top",13,"26.5%","20.4%","57.1%","62%","85%",34,38,73,2.8,"58.8%","20.9%","15%",-69,-125,4.4,7.3,"21.9%",435,"21.9%","21.0%",0.39,0.17
"Wukong","Top",1,"2.0%","8.2%","10.2%","0%","0%",1,6,0,0.2,"33.3%","24.0%","0%",-378,314,1,6.9,"18.8%",312,"15.3%","21.7%",0.41,0.07
"Ziggs","ADC",2,"4.1%","0.0%","4.1%","0%","100%",2,7,1,0.4,"30.0%","14.3%","0%",-820,-463,-22,7.9,"27.4%",650,"32.0%","23.8%",0.37,0.19
"Zilean","Middle",2,"4.1%","0.0%","4.1%","0%","100%",1,2,8,4.5,"60.0%","11.1%","0%",-971,-336,-23.5,7.7,"26.2%",296,"20.3%","21.7%",0.45,0.23
