"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"369","Top Esports","Top",6,"83%","50%",24,13,29,4.1,"53.0%","24.0%","24.5%","17%",304,83,-2.2,8.4,"24.8%",448,"21.3%","22.9%",0.39,0.26
"AHaHaCiK","Unicorns Of Love.CIS","Jungle",6,"0%","50%",13,32,23,1.1,"64.3%","23.2%","23.2%","50%",-266,-561,-9,5.4,"18.3%",381,"19.2%","20.4%",0.32,0.31
"Angel","Suning","Middle",7,"71%","71%",31,16,47,4.9,"68.4%","27.2%","19.0%","43%",211,-14,4,8.2,"21.1%",495,"22.0%","21.8%",0.44,0.26
"Bdd","Gen.G","Middle",6,"83%","50%",18,11,31,4.5,"55.1%","20.2%","14.5%","0%",34,-128,3.7,8.6,"24.8%",391,"20.2%","23.8%",0.46,0.27
"BeryL","DAMWON Gaming","Support",6,"83%","50%",6,15,54,4,"59.4%","5.9%","26.8%","33%",6,97,0.7,1.5,"4.1%",160,"8.3%","9.6%",1.71,0.54
"Bin","Suning","Top",7,"71%","29%",26,20,36,3.1,"54.4%","22.8%","23.8%","29%",104,306,2.4,8.6,"26.2%",590,"26.9%","24.1%",0.42,0.13
"Biofrost","Team SoloMid","Support",6,"0%","33%",3,18,26,1.6,"60.4%","6.3%","21.2%","0%",-287,-13,0,1.2,"3.4%",112,"7.2%","8.0%",1.73,0.5
"Bjergsen","Team SoloMid","Middle",6,"0%","67%",10,15,21,2.1,"64.6%","20.8%","17.6%","17%",-199,-78,-7.3,8.4,"26.6%",322,"20.8%","24.4%",0.38,0.16
"BOSS","Unicorns Of Love.CIS","Top",6,"0%","33%",15,28,17,1.1,"57.1%","26.8%","20.3%","33%",-218,-100,-9.2,6.8,"20.7%",384,"19.1%","21.3%",0.45,0.14
"Broken Blade","Team SoloMid","Top",6,"0%","33%",13,18,16,1.6,"60.4%","27.1%","21.2%","17%",77,6,-2.7,7.1,"22.9%",366,"23.9%","23.6%",0.47,0.18
"Broxah","Team Liquid","Jungle",6,"50%","67%",13,10,42,5.5,"70.5%","16.7%","15.6%","50%",134,252,0.8,6.1,"18.0%",298,"15.5%","18.8%",0.5,0.31
"Bruce","Machi Esports","ADC",6,"17%","33%",8,18,23,1.7,"57.4%","14.8%","17.5%","0%",29,47,6.5,9,"29.9%",477,"29.1%","26.8%",0.4,0.38
"Bwipo","Fnatic","Top",6,"67%","67%",17,11,29,4.2,"60.5%","22.4%","21.2%","17%",-202,-27,-0.7,8.1,"23.7%",431,"27.8%","23.0%",0.38,0.15
"Canyon","DAMWON Gaming","Jungle",6,"83%","33%",34,9,42,8.4,"75.2%","33.7%","16.1%","33%",225,561,13.3,7.5,"23.3%",502,"24.2%","23.2%",0.44,0.4
"Caps","G2 Esports","Middle",7,"57%","43%",32,22,51,3.8,"72.2%","27.8%","19.6%","29%",-47,-16,-7.1,8.5,"25.4%",591,"25.8%","23.7%",0.39,0.17
"Chovy","DRX","Middle",6,"67%","33%",13,6,33,7.7,"53.5%","15.1%","12.8%","33%",280,232,8.7,9.5,"25.6%",356,"17.8%","23.2%",0.33,0.23
"Clid","Gen.G","Jungle",6,"83%","50%",16,16,41,3.6,"64.0%","18.0%","21.1%","17%",-173,189,2.7,6.4,"19.7%",350,"18.3%","18.7%",0.91,0.54
"CoreJJ","Team Liquid","Support",6,"50%","33%",8,13,46,4.2,"69.2%","10.3%","20.3%","67%",113,-169,0.7,1.6,"5.2%",212,"11.2%","10.6%",1.73,0.75
"Deft","DRX","ADC",6,"67%","17%",13,7,42,7.9,"64.0%","15.1%","14.9%","0%",191,175,9.3,9.6,"27.4%",511,"25.5%","24.4%",0.51,0.26
"Doran","DRX","Top",6,"67%","83%",14,9,41,6.1,"64.0%","16.3%","19.1%","33%",211,80,5,8.7,"22.6%",535,"26.2%","21.9%",0.42,0.16
"Doublelift","Team SoloMid","ADC",6,"0%","50%",11,21,16,1.3,"56.3%","22.9%","24.7%","17%",-274,-234,-5.2,8.4,"27.9%",445,"28.3%","24.5%",0.38,0.33
"Finn","Rogue","Top",6,"17%","67%",9,20,22,1.6,"58.5%","17.0%","23.0%","17%",-345,17,-6.5,7.3,"24.3%",335,"24.6%","22.3%",0.42,0.17
"Gadget","Unicorns Of Love.CIS","ADC",6,"0%","67%",12,21,17,1.4,"51.8%","21.4%","15.2%","0%",-643,-233,-19.3,7.4,"26.1%",601,"30.4%","23.2%",0.36,0.21
"Gemini","Machi Esports","Jungle",6,"17%","50%",19,19,18,1.9,"68.5%","35.2%","18.4%","17%",-200,-571,-13.7,5,"13.8%",241,"14.7%","18.3%",0.49,0.4
"Ghost","DAMWON Gaming","ADC",6,"83%","67%",18,7,52,10,"69.3%","17.8%","12.5%","33%",101,-89,-3.5,8.9,"25.7%",446,"22.0%","23.2%",0.51,0.27
"Hanabi","PSG Talon","Top",6,"33%","17%",4,14,17,1.5,"55.3%","10.5%","20.9%","17%",-91,114,3.7,8.1,"24.8%",320,"23.7%","23.5%",0.42,0.2
"Hans sama","Rogue","ADC",6,"17%","33%",14,14,21,2.5,"66.0%","26.4%","16.1%","33%",180,-199,1.2,8.6,"27.2%",286,"20.0%","25.5%",0.56,0.35
"huanfeng","Suning","ADC",7,"71%","57%",26,13,46,5.5,"63.2%","22.8%","15.5%","14%",-5,143,-2,9.2,"29.0%",579,"26.0%","24.9%",0.43,0.33
"Hylissang","Fnatic","Support",6,"67%","33%",6,16,43,3.1,"64.5%","7.9%","30.8%","50%",193,145,0.3,1.2,"3.0%",121,"7.9%","8.6%",1.57,0.39
"IgNar","FlyQuest","Support",6,"50%","50%",4,15,39,2.9,"59.7%","5.6%","18.8%","17%",130,-7,-0.3,0.9,"2.5%",141,"8.1%","8.6%",1.59,0.37
