"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"DAMWON Gaming",6,5,1,29.5,101,56,1.8,0.88,1.62,"14.7%",74.9,8.5,2102,"50%","100%","83%","92%","83%","81%",,"100%","86%","50.5%","56.8%",3.38,1.38,1.74
"DRX",6,4,2,33,86,47,1.83,0.66,2.07,"14.2%",80.3,-13.6,2875,"50%","67%","67%","67%","33%","52%",,"50%","38%","51.5%","57.4%",3.91,1.23,1.6
"FlyQuest",6,3,3,31.9,72,80,0.9,0.79,0.1,"-3.5%",43.2,6.8,-662,"50%","50%","50%","42%","67%","52%",,"50%","63%","49.0%","49.2%",3.11,1.19,1.49
"Fnatic",6,4,2,28.9,76,52,1.46,0.74,0.84,"5.5%",57,9.7,154,"100%","83%","67%","45%","50%","54%",,"33%","75%","50.8%","53.6%",3.03,1.14,1.55
"G2 Esports",7,4,3,34.7,115,112,1.03,0.93,0.39,"4.2%",56.5,0.6,1144,"57%","71%","29%","69%","29%","44%","100%","43%","33%","50.7%","52.7%",4.07,1.42,1.72
"Gen.G",6,5,1,32.9,89,76,1.17,0.83,0.96,"6.3%",62.5,20.9,1573,"33%","67%","67%","75%","50%","63%",,"83%","88%","51.1%","50.4%",3.86,1.37,1.62
"JD Gaming",6,4,2,28.9,95,80,1.19,1,0.7,"5.3%",55.9,10.8,790,"50%","33%","67%","55%","67%","50%",,"33%","50%","51.2%","54.5%",3.44,1.13,1.68
"LGD Gaming",6,3,3,36.2,84,85,0.99,0.78,-0.41,"-2.1%",41.8,8.2,-817,"33%","33%","50%","33%","67%","48%",,"17%","33%","49.4%","49.9%",3.65,1.11,1.83
"Machi Esports",6,1,5,32.8,54,103,0.52,0.79,-2.2,"-10.6%",29.1,-12.4,-2599,"17%","33%","33%","42%","67%","48%",,"17%","38%","49.2%","39.5%",3.57,1.42,1.93
"PSG Talon",6,2,4,27.8,38,67,0.57,0.63,-1.32,"-10.3%",36.8,-3.4,-1654,"33%","17%","33%","27%","50%","50%",,"33%","40%","49.9%","43.2%",3.15,1.28,1.58
"Rogue",6,1,5,29.8,53,87,0.61,0.78,-1.05,"-9.7%",32.5,-15.9,-1238,"67%","50%","17%","25%","0%","19%",,"17%","17%","48.4%","45.5%",3.71,1.14,1.27
"Suning",7,5,2,33.7,114,84,1.36,0.84,1.35,"8.9%",62.7,8.7,1037,"57%","43%","86%","46%","71%","61%","50%","43%","70%","50.7%","57.8%",4.14,1.3,1.81
"Team Liquid",6,3,3,32.4,78,64,1.22,0.73,0.07,"-4.7%",48.5,1.5,55,"67%","50%","50%","42%","33%","46%","0%","50%","60%","49.2%","48.2%",3.5,1.2,1.78
"Team SoloMid",6,0,6,33.5,48,85,0.56,0.66,-1.22,"-9.7%",38.7,-38.7,-909,"33%","17%","17%","45%","33%","36%",,"0%","13%","48.7%","46.1%",3.51,1.42,1.53
"Top Esports",6,5,1,32.4,100,53,1.89,0.79,1.05,"5.3%",60.9,22.4,1571,"50%","33%","67%","50%","50%","68%",,"83%","78%","50.4%","55.0%",3.21,1.23,1.67
"Unicorns Of Love.CIS",6,0,6,32.1,56,138,0.41,1,-3.29,"-16.0%",15.7,-15.7,-3784,"50%","50%","17%","42%","50%","27%",,"17%","22%","49.1%","38.4%",3.09,1.06,1.37
