"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Aatrox","Top",1,"2.6%","0.0%","2.6%","0%","0%",1,3,1,0.7,"66.7%","25.0%","0%",598,155,12,6.6,"20.3%",206,"21.0%","20.0%",0.36,0.16
"Akali","Middle",1,"2.6%","28.9%","31.6%","0%","0%",0,4,4,1,"50.0%","20.0%","0%",-15,108,-5,7.3,"20.6%",411,"27.6%","18.6%",0.4,0.03
"Alistar","Support",11,"28.9%","18.4%","47.4%","82%","100%",14,31,124,4.5,"66.3%","27.0%","27%",3,46,-6.4,1,"2.6%",152,"7.1%","9.5%",1.51,0.32
"Aphelios","ADC",1,"2.6%","0.0%","2.6%","0%","0%",0,6,3,0.5,"33.3%","22.2%","0%",-613,145,4,7.6,"30.2%",395,"20.0%","20.0%",0.27,0.17
"Ashe","ADC",10,"26.3%","21.1%","47.4%","20%","10%",19,29,43,2.1,"66.7%","18.0%","10%",141,193,8.5,9.1,"30.1%",469,"26.1%","26.1%",0.44,0.35
"Azir","Middle",4,"10.5%","26.3%","36.8%","50%","50%",9,13,22,2.4,"58.5%","26.5%","0%",-254,-347,-5.8,8,"27.1%",385,"23.4%","22.7%",0.47,0.13
"Bard","Support",5,"13.2%","31.6%","44.7%","40%","80%",7,12,56,5.3,"78.8%","16.9%","40%",62,-23,1.6,1.4,"4.4%",181,"8.4%","10.0%",2.23,0.6
"Blitzcrank","-",0,"0%","2.6%","2.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Braum","Support",5,"13.2%","2.6%","15.8%","40%","40%",0,15,50,3.3,"76.9%","23.1%","20%",7,215,-1.8,1.1,"2.9%",143,"6.3%","8.7%",1.35,0.36
"Caitlyn","ADC",4,"10.5%","28.9%","39.5%","50%","25%",23,9,21,4.9,"75.9%","15.5%","0%",313,-62,4.3,9.5,"33.1%",646,"30.7%","30.4%",0.35,0.3
"Camille","Top",13,"34.2%","28.9%","63.2%","54%","8%",39,40,69,2.7,"54.3%","22.2%","46%",161,8,2.1,8,"26.1%",428,"23.0%","23.4%",0.38,0.17
"Cassiopeia","Middle",2,"5.3%","2.6%","7.9%","50%","100%",5,6,9,2.3,"82.4%","18.8%","0%",65,367,8.5,9.7,"33.9%",557,"31.0%","29.6%",0.43,0.17
"Corki","Middle",1,"2.6%","0.0%","2.6%","0%","100%",2,4,1,0.8,"37.5%","21.1%","0%",102,25,2,9.9,"33.0%",631,"32.4%","28.1%",0.44,0.13
"Draven","ADC",1,"2.6%","0.0%","2.6%","0%","0%",7,4,8,3.8,"83.3%","23.5%","0%",149,-213,5,7.2,"23.1%",584,"24.3%","27.5%",0.74,0.24
"Ekko","Jungle",2,"5.3%","2.6%","7.9%","50%","0%",17,4,16,8.3,"82.5%","19.0%","50%",296,359,9,7.6,"25.8%",576,"27.6%","25.6%",0.28,0.37
"Elise","Jungle",2,"5.3%","2.6%","7.9%","50%","100%",5,8,11,2,"66.7%","30.8%","50%",-137,-220,-6,5.2,"13.8%",333,"18.7%","16.7%",1.05,0.51
"Evelynn","Jungle",3,"7.9%","13.2%","21.1%","67%","33%",13,10,20,3.3,"62.3%","24.4%","67%",243,488,10.7,5.9,"17.5%",466,"22.5%","18.3%",0.43,0.15
"Ezreal","ADC",13,"34.2%","13.2%","47.4%","62%","62%",62,31,82,4.6,"69.2%","18.2%","31%",78,30,2.6,8.1,"26.5%",685,"31.0%","24.6%",0.43,0.29
"Galio","Middle",9,"23.7%","13.2%","36.8%","22%","67%",17,33,45,1.9,"68.1%","20.8%","11%",-632,-353,-15,7.3,"23.3%",341,"19.7%","20.6%",0.48,0.1
"Gangplank","Top",2,"5.3%","0.0%","5.3%","50%","100%",2,6,9,1.8,"68.8%","42.9%","0%",-645,-211,-16.5,8.4,"27.1%",484,"32.3%","23.6%",0.54,0.16
"Gnar","Top",1,"2.6%","0.0%","2.6%","100%","100%",1,1,5,6,"50.0%","33.3%","0%",-598,-155,-12,8.1,"24.4%",435,"26.7%","20.6%",0.45,0.36
"Gragas","Jungle",1,"2.6%","0.0%","2.6%","0%","100%",3,4,8,2.8,"78.6%","22.2%","0%",14,156,3,5.4,"15.2%",476,"28.4%","18.7%",0.66,0.29
"Graves","Jungle",17,"44.7%","31.6%","76.3%","71%","53%",69,22,107,8,"69.8%","14.0%","35%",2,-249,-5.7,6.9,"22.3%",349,"18.0%","21.3%",0.33,0.43
"Hecarim","Jungle",6,"15.8%","21.1%","36.8%","50%","67%",16,20,27,2.2,"62.3%","23.0%","67%",153,105,3.2,6.6,"21.8%",290,"15.3%","20.2%",0.24,0.31
"Jarvan IV","Jungle",1,"2.6%","0.0%","2.6%","0%","100%",0,3,1,0.3,"100.0%","18.8%","0%",-990,-122,-1,4.3,"9.3%",115,"8.9%","16.4%",0.21,0.21
"Jax","Top",1,"2.6%","5.3%","7.9%","100%","100%",6,2,5,5.5,"55.0%","25.0%","100%",21,229,5,8.6,"26.4%",457,"20.6%","23.9%",0.42,0.33
